filename,検出器,地点,シリアル,live_s,dead_frac,peak_lo,peak_hi,peak_ch,peak_net_cps,peak_net_cps_err,peak_valid,wall_lo,wall_hi,wall_e_lo_kev,wall_e_hi_kev,wall_sb_lo_lo,wall_sb_lo_hi,wall_sb_hi_lo,wall_sb_hi_hi,wall_net_cps,wall_net_cps_linear,wall_gross_cps,wall_net_cps_err,wall_valid,wall_valid_linear,wall_bg_mode,wall_bg_mode_linear,ratio_wall_over_peak,ratio_linear_over_right,peak_warning,wall_warning,total_cps
D1_20260818_1552_管理棟2階.mca,D1,管理棟2階,1715,1335.366,0.001002464266637526,314,366,345,0.5022343437429639,0.021798511114426853,1,86,366,191.0,764.0,71,85,367,511,0.6043855108404479,0.22191852921787267,0.7698263996537279,0.026464745093690012,1,1,sideband_right,sideband,1.2033934325083977,0.36718042580020926,,,65.36260470912094
D1_20260818_1730_linac.mca,D1,linac,1715,4208.884,0.0011365381224408555,314,366,342,0.06869596152646006,0.004550793933228789,1,85,366,191.0,764.0,70,84,367,511,0.10316437719635992,-0.7342085341637266,0.12164744858732149,0.005770094003880594,1,0,sideband_right,sideband,1.5017531584680337,-7.116880401131647,,,71.79361559976469
D1_20260819_0832_管理棟2階.mca,D1,管理棟2階,1715,52246.972,0.0010203185123001113,314,366,343,0.5335728674700356,0.003570825566852014,1,85,366,191.0,764.0,70,84,367,511,0.6497421911640261,-0.028249049541821787,0.800237763061178,0.00426578338064977,1,0,sideband_right,sideband,1.2177196982388057,-0.04347732058343487,,,66.80697208634406
D1_20260819_1344_管理棟1階.mca,D1,管理棟1階,1715,17482.328,0.0009953287321997628,314,366,340,0.3830077245242548,0.005248802362095381,1,85,366,191.0,764.0,70,84,367,511,0.4772543588805398,-0.23794021405219903,0.5851623422235299,0.00629635230117418,1,0,sideband_right,sideband,1.2460698004807906,-0.4985605885513917,,,64.735142825372
D1_20260819_1530_地上.mca,D1,地上,1715,4748.053,0.0006327010462299221,314,366,340,0.4330406589816921,0.010555665390852306,1,85,366,191.0,764.0,70,84,367,511,0.5412178496075674,0.24609177525395373,0.650582459799838,0.012651263269814516,1,1,sideband_right,sideband,1.2498083918499874,0.45470003517510166,,,42.93949541001333
D1_20260819_1854_放射線棟BT.mca,D1,放射線棟BT,1715,9583.863,0.0010788794162815973,370,422,396,0.09856150906998568,0.00367633664836075,1,99,412,191.0,764.0,84,98,413,511,0.13679243954134154,-0.41750545424961866,0.1695558461134096,0.004594606341159927,1,0,plateau,sideband,1.3878890535676476,-3.052109134463091,peak=396 のため共通窓幅53chを 370-422 に中心移動,平坦部背景に切替（ピーク上端・側帯不可）,66.5852589921204
D1_20260820_0807_PF.mca,D1,PF,1715,45702.849,0.0008399417165273482,362,414,388,0.2006585337090619,0.0023646439271170034,1,97,404,191.0,764.0,82,96,405,511,0.2350400518794791,-0.48978193545444926,0.3091710978455632,0.002896002865663952,1,0,plateau,sideband,1.1713434137830765,-2.0838232953828375,peak=388 のため共通窓幅53chを 362-414 に中心移動,平坦部背景に切替（ピーク上端・側帯不可）,46.01236128627342
D1_20260820_1939_KEKB.mca,D1,KEKB,1715,39007.479,0.0008580983366709427,359,411,385,0.06902095193932767,0.001439203663607703,1,96,401,191.0,764.0,81,95,402,511,0.08377880559776754,-0.4915374209016485,0.09946810456528093,0.0017181931782995808,1,0,plateau,sideband,1.2138170112665594,-5.867085564117263,peak=385 のため共通窓幅53chを 359-411 に中心移動,平坦部背景に切替（ピーク上端・側帯不可）,52.795695922825466
D1_20260822_1633_熱中性子管理棟-30cm.mca,D1,熱中性子_30cm,1715,28.09,0.6278435061407809,388,440,414,1633.7486650053404,17.07754519990895,1,103,430,191.0,764.0,88,102,431,511,7161.943752224991,7477.6269015228645,13607.51156995372,26.7186595968887,1,1,plateau,sideband,4.383748801534035,1.0440778593380882,peak=414 のため共通窓幅53chを 388-440 に中心移動,平坦部背景に切替（ピーク上端・側帯不可）,27015.877536489854
D1_20260822_1644_熱中性子管理棟2-80cm.mca,D1,熱中性子_80cm,1715,50.435,0.33169464799183745,357,409,383,1160.7448531112652,7.97296899354964,1,95,399,191.0,764.0,80,94,400,511,2874.7941126485293,2982.908267754582,4412.828392981064,10.862353984278819,1,1,sideband_right,sideband,2.4766804737000725,1.0376076167090964,peak=383 のため共通窓幅53chを 357-409 に中心移動,,8290.135818380093
D1_20260822_1650_熱中性子管理棟-gain500.mca,D1,熱中性子_gain調整,1715,61.569,0.253147820180014,222,274,248,1454.7434585586902,7.4300955100875505,1,62,366,191.0,764.0,47,61,367,511,4107.014221778649,3318.056897806783,4515.61662524972,8.943090612457356,1,1,sideband_right,sideband,2.823187963221871,0.8079000263042216,peak=248 のため共通窓幅53chを 222-274 に中心移動,,8171.7260309571375
D1_20260822_1653_熱中性子管理棟-corse_gain100_Gain_750.mca,D1,熱中性子_gain調整,1715,32.866,0.2190937819279113,314,366,339,9.521491308140126,2.2824127217335786,1,84,366,191.0,764.0,69,83,367,511,4008.8186722679557,2572.5426628380337,4114.403943284854,11.331365417147836,1,1,sideband_right,sideband,421.02844423548765,0.6417208841682628,,,8046.40053550782
D1_20260822_1653_熱中性子管理棟-gain750_corse_gainを200から100に変更.mca,D1,熱中性子_gain調整,1715,59.851,0.19219608319498993,314,366,306,-4.474541730321117,0.4212993903017736,0,76,366,191.0,764.0,61,75,367,511,3796.4390881032728,1879.583112388422,3798.015070759052,7.967695395294413,1,1,sideband_right,sideband,nan,0.49509107581322337,NET<=0（ROI または背景定義を確認）; peak=306 が積分窓端に近い（側帯定義を確認）,,8063.641376083942
D1_20260823_1510_Linac3.mca,D1,linac,1715,23222.698,0.0029650829306157034,357,409,383,0.11852484438572411,0.0023888490530578747,1,95,399,191.0,764.0,80,94,400,511,0.16892955331891238,-2.06401366795096,0.1951969577350573,0.0030881300948317025,1,0,plateau,sideband,1.4252670332065782,-12.218191710093658,peak=383 のため共通窓幅53chを 357-409 に中心移動,平坦部背景に切替（ピーク上端・側帯不可）,173.05543051027058
D1_20260823_1510_PS.mca,D1,その他,1715,78562.293,0.0018499667758888894,359,411,385,0.053538406777409106,0.0009171682428622462,1,96,401,191.0,764.0,81,95,402,511,0.07974563573392644,-0.9873743161919295,0.10701062404072141,0.0013073488687718987,1,0,plateau,sideband,1.4895033403865812,-12.381546740517958,peak=385 のため共通窓幅53chを 359-411 に中心移動,平坦部背景に切替（ピーク上端・側帯不可）,100.33626437049132
D1_20260823_1510_linac_testhole.mca,D1,linac,1715,20238.835,0.0020220571738183146,361,413,387,0.2524470076134982,0.003948089647710702,1,96,403,191.0,764.0,81,95,404,511,0.28079130487940085,-0.21103307276912908,0.43381943674129464,0.005384803996877455,1,0,sideband_right,sideband,1.1122782065584964,-0.7515655545664679,peak=387 のため共通窓幅53chを 361-413 に中心移動,,58.27830505066127
D1_20260823_1510_linac_testhole_error.mca,D1,linac,1715,20179.846,0.0020238596255236496,361,413,387,0.12434353232097675,0.003048608859659195,1,96,403,191.0,764.0,81,95,404,511,0.19074770239868327,-0.31670666096097116,0.3159588036499386,0.004675671761781813,1,0,sideband_right,sideband,1.5340379900604137,-1.6603432543529153,peak=387 のため共通窓幅53chを 361-413 に中心移動,,58.15480455103572
